公告,#genre#
更新日期,https://liuliuliu.tv/api/channels/1997/stream
2024-10-23,https://liuliuliu.tv/api/channels/233/stream
广东频道,#genre#
广东卫视,http://111.197.60.252:5555/rtp/239.3.1.142:8048 
广东卫视,http://221.223.26.102:8012/rtp/239.3.1.142:8048 
广东卫视,http:///rtp/239.3.1.142:8048 
广东卫视,http://49.234.186.50:35455/itv/1000000001000014176.m3u8?cdn=ystenlive 
广东卫视,http://1.14.19.228:35455/itv/1000000001000014176.m3u8?cdn=ystenlive 
广东卫视,http://eastscreen.tv/ooooo.php?id=gdwshd 
广东卫视,http://222.169.85.8:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://58.51.111.46:1111/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://112.234.23.81:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://58.57.21.166:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://123.129.70.178:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://58.48.37.158:1111/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://36.35.16.98:9901/tsfile/live/0001_27.m3u8?key=txiptv&playlive=0&authid=0 
广东卫视,http://202.100.46.58:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://113.57.20.158:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://61.157.139.15:9901/tsfile/live/2395_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://218.80.126.237:4022/rtp/239.45.3.230:5140 
广东卫视,http://139.196.151.191:2051/rtp/239.45.3.230:5140 
广东卫视,http://110.177.146.171:888/rtp/239.1.1.49:8049 
广东卫视,http://223.10.115.195:8083/rtp/239.1.1.49:8049 
广东卫视,http://223.10.39.207:8082/rtp/239.1.1.49:8049 
广东卫视,http://183.191.181.121:8002/rtp/226.0.2.146:9080 
广东卫视,http://183.191.180.63:8002/rtp/226.0.2.146:9080 
广东卫视,http://183.191.181.121:8002/rtp/226.0.2.45:8272 
广东卫视,http://183.191.180.63:8002/rtp/226.0.2.45:8272 
广东卫视,http://171.213.130.157:8088/rtp/239.93.0.181:5140 
广东卫视,http://183.191.139.8:8005/rtp/226.0.2.45:8272 
广东卫视,http://fangke.blueswords.com:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://111.61.236.247:9081/hls/43/index.m3u8 
广东卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014176/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3 
广东卫视,http://121.24.99.16:8090/hls/82/index.m3u8 
广东卫视,http://124.128.73.58:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://59.48.75.130:3052/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0 
广东卫视,http://117.114.153.18:8180/TV00000000000000000027@HHZT 
广东卫视高清,http://183.51.190.62:6633/udp/239.77.1.19:5146 
广东卫视高清,http://183.51.190.62:6633/udp/239.77.1.152:5146 
广东卫视高清,http://183.51.190.62:6633/udp/239.77.0.84:5146 
